date,utc,statsbomb,skillcorner,home,score,away,wyscout,videooffset
2025-09-16,16:45,4028832,2031625,Athletic Club,0-2,Arsenal,5769746,2927
2025-09-16,16:45,4028833,2031624,PSV,1-3,Union Saint-Gilloise,5769745,2836
2025-09-16,19:00,4028834,2031621,Benfica,2-3,Qarabag,5769748,2232
2025-09-16,19:00,4028835,2031622,Juventus,4-4,Dortmund,5769749,2711
2025-09-16,19:00,4028836,2031620,Real Madrid,2-1,Marseille,5769747,2896
2025-09-16,19:00,4028837,2031623,Tottenham Hotspur,1-0,Villarreal,5769750,2765
2025-09-17,16:45,4028841,2031618,Olympiacos Piraeus,0-0,Pafos,5769751,2950
2025-09-17,16:45,4028840,2031619,Slavia Praha,2-2,Bodø / Glimt,5769752,3015
2025-09-17,19:00,4028839,2031617,Ajax,0-2,Internazionale,5769756,2897
2025-09-17,19:00,4028831,2031615,Bayern München,3-1,Chelsea,5769754,2845
2025-09-17,19:00,4028838,2031616,Liverpool,3-2,Atlético Madrid,5769755,2987
2025-09-17,19:00,4028842,2031614,PSG,4-0,Atalanta,5769753,2831
2025-09-18,16:45,4028844,2031724,Club Brugge,4-1,Monaco,5769757,2950
2025-09-18,16:45,4028845,2031737,København,2-2,Leverkusen,5769758,2796
2025-09-18,19:00,4028843,2031735,Frankfurt,5-1,Galatasaray,5769760,3093
2025-09-18,19:00,4028848,2031736,Manchester City,2-0,Napoli,5769759,2948
2025-09-18,19:00,4028847,2031733,Newcastle United,1-2,Barcelona,5769762,2903
2025-09-18,19:00,4028846,2031734,Sporting CP,4-1,Kairat,5769761,2828
2025-09-30,16:45,4028849,2034163,Atalanta,2-1,Club Brugge,5769763,2770
2025-09-30,16:45,4028886,2034162,Kairat,0-5,Real Madrid,5769764,2716
2025-09-30,19:00,4028887,2034193,Atlético Madrid,5-1,Frankfurt,5769767,2793
2025-09-30,19:00,4028884,2034192,Bodø / Glimt,2-2,Tottenham Hotspur,5769768,2800
2025-09-30,19:00,4028885,2034194,Chelsea,1-0,Benfica,5769766,2791
2025-09-30,19:00,4028882,2034190,Galatasaray,1-0,Liverpool,5769770,3006
2025-09-30,19:00,4028883,2034195,Internazionale,3-0,Slavia Praha,5769765,2772
2025-09-30,19:00,4028888,2034191,Marseille,4-0,Ajax,5769769,2950
2025-09-30,19:00,4028889,2034189,Pafos,1-5,Bayern München,5769771,2714
2025-10-01,16:45,4028891,2034413,Qarabag,2-0,København,5769773,2892
2025-10-01,16:45,4028916,2034410,Union Saint-Gilloise,0-4,Newcastle United,5769772,2833
2025-10-01,19:00,4028892,2034409,Arsenal,2-0,Olympiacos Piraeus,5769774,2836
